STATIONS_ID, MESS_DATUM,date, QUALITAETS_NIVEAU, LUFTTEMPERATUR,DAMPFDRUCK,BEDECKUNGSGRAD,LUFTDRUCK_STATIONSHOEHE,REL_FEUCHTE, WINDGESCHWINDIGKEIT, LUFTTEMPERATUR_MAXIMUM,LUFTTEMPERATUR_MINIMUM,LUFTTEMP_AM_ERDB_MINIMUM, WINDSPITZE_MAXIMUM, NIEDERSCHLAGSHOEHE,NIEDERSCHLAGSHOEHE_IND,SONNENSCHEINDAUER, SCHNEEHOEHE,eor
1766,20000513,5/13/00,10,17.3,8.5,1,1017.1,44,3.5,23.8,8.5,4.2,10.8,0,0,14.9,0,eor
1766,20000514,5/14/00,10,19.6,10.1,0,1016.9,45,1.6,27.9,10.2,4.1,5.6,0,0,15,0,eor
1766,20000515,5/15/00,10,20.5,10.8,3,1012.8,46,1.5,29,13.5,7.2,5.1,0,0,14.5,0,eor
1766,20000516,5/16/00,10,21.2,13.3,6.3,1007.3,53,2.3,29.3,13.5,7.6,16.3,1.1,6,13.2,0,eor
1766,20000517,5/17/00,10,14.4,12.6,5.3,1004.5,73,3.8,18.9,11.9,11.5,15.6,1.5,6,4.2,0,eor
1766,20000518,5/18/00,10,11.1,10.2,5.7,1000.7,75,4.1,15.1,9.8,6.9,14.3,2.7,6,3.5,0,eor
1766,20000519,5/19/00,10,9.7,10.6,6.7,1000.2,85,3.8,14.5,8,6,11.9,3.7,6,2.2,0,eor
1766,20000520,5/20/00,10,10.1,10.2,6,1004.7,84,3.2,15.5,7.4,6.8,10.9,0.4,6,3.1,0,eor
1766,20000521,5/21/00,10,10.2,11,7.7,1001.4,88,1.5,13.9,2.6,-0.9,7.1,8.9,6,1.7,0,eor
1766,20000522,5/22/00,10,12.1,11.9,7,1008.3,84,1.8,15.4,9.7,9.5,7,0,6,0.8,0,eor
1766,20000523,5/23/00,10,15.5,12.1,7,1011,72,3,19.3,6.6,2.7,8.6,3.7,6,4.7,0,eor
1766,20000524,5/24/00,10,14.5,15,7.7,1006.9,90,3,18.2,12.8,12.3,7.5,8.8,6,0.9,0,eor
1766,20000525,5/25/00,10,13.8,12.1,6.3,1003.7,73,5.4,17,11.6,12.3,15.9,2.9,6,4.4,0,eor
1766,20000526,5/26/00,10,15.1,9.8,7,1006.9,60,3,19.5,8.1,6.4,7.1,0.1,6,7.1,0,eor
1766,20000527,5/27/00,10,10.1,9.6,7,1004.7,78,5.9,18.4,8.6,12.2,18.9,1.6,6,5,0,eor
1766,20000528,5/28/00,10,11,9.1,7,996.2,69,7.3,16.5,9,6.8,24.6,2.8,6,2.9,0,eor
1766,20000529,5/29/00,10,9.2,9.6,5.7,1005.3,82,4.9,13.8,7,6.7,14.2,5.8,8,5.7,0,eor
1766,20000530,5/30/00,10,10.8,10.4,7,1007.8,80,1.5,15.3,4.1,0.6,5.9,2.2,6,5.3,0,eor
1766,20000531,5/31/00,10,12.8,10.1,4.3,1013.2,68,1.5,18.2,8.1,7.6,5.2,0,0,10.3,0,eor
1766,20000601,6/1/00,10,17.2,13.9,6.3,1013.1,71,3,21.3,9.2,6.9,9.9,0,6,3.3,0,eor
1766,20000602,6/2/00,10,18.6,15.2,1.3,1012.3,70,3.2,24.2,12,8.6,9.7,0,0,14,0,eor
1766,20000603,6/3/00,10,19.3,17.3,6.3,1012.1,78,2.6,24.5,9.9,7.1,7,4.3,6,11,0,eor
1766,20000604,6/4/00,10,17.4,16.5,6.7,1010.3,79,3.5,22.5,15.3,13.7,9.6,0,0,5.8,0,eor
1766,20000605,6/5/00,10,14.8,15.9,7.7,1008.5,92,3,18.9,13.3,11.1,10.1,10.1,6,0,0,eor
1766,20000606,6/6/00,10,11.8,12.5,7,1011.3,89,4.2,15.9,11,11,10.5,5.5,6,1.5,0,eor
1766,20000607,6/7/00,10,11.4,12,5,1015.4,89,3.7,16.3,10.2,8.6,12.9,2.9,6,3.8,0,eor
1766,20000608,6/8/00,10,15.7,11.2,4,1014,67,1.9,20.4,5.1,2.6,6.5,0,0,13.9,0,eor
1766,20000609,6/9/00,10,23.9,15.8,3,1006.3,54,3.5,30.5,13.9,11.7,8.6,0,0,15,0,eor
1766,20000610,6/10/00,10,20.6,18.5,5,1008,73,2.7,25.7,17.6,15,7.9,0,0,10.5,0,eor
1766,20000611,6/11/00,10,17.3,12.4,6.3,1011.4,64,2.7,22.4,14.4,13.8,8.3,0,0,10.1,0,eor
1766,20000612,6/12/00,10,17.2,13.2,5.3,1018.5,67,3.9,22.6,11.8,10.4,11.7,0,0,13,0,eor
1766,20000613,6/13/00,10,19.7,15.9,2,1017.3,68,3.5,27,13.4,9.6,9.5,0,0,14,0,eor
1766,20000614,6/14/00,10,18.6,16.5,7.3,1015.6,78,3.5,21.5,12.4,9.8,9.6,0.9,6,0.4,0,eor
1766,20000615,6/15/00,10,14.1,12,4.7,1016.7,71,4.3,19.9,11.9,14.1,11.2,0.1,6,5.8,0,eor
1766,20000616,6/16/00,10,12.6,9.1,4.3,1021.5,61,3.8,17.9,6.6,4.4,10.3,0,0,10.1,0,eor
1766,20000617,6/17/00,10,14.8,8.8,2.7,1023.7,54,1.1,21.2,3,-1.5,5.4,0,0,15.2,0,eor
1766,20000618,6/18/00,10,21.1,12.8,2,1019,53,2,28.8,8.6,4.5,7.3,0,0,14.6,0,eor
1766,20000619,6/19/00,10,25,13.7,0,1012.4,46,2.5,34,13.6,8.9,9.8,0,0,15.4,0,eor
1766,20000620,6/20/00,10,27.2,15.7,1.3,1007.4,45,2.4,34.4,16.9,13,10.4,0,0,14.7,0,eor
1766,20000621,6/21/00,10,23,17.4,4.7,1006.7,62,3.5,30.1,17,11.5,10.9,8.9,6,9.4,0,eor
